value_band,orders,reviews,rating,late_rate,delivery_time,installments
R$150–300,21382,21214,4.088196474026586,7.297221442604547,13.605891343926604,3.7527827144327004
R$300–600,6823,6774,4.034543844109832,8.076810319554383,13.928663521884534,4.919390297523083
R$50–150,48686,48375,4.180320413436693,6.6758416695766485,12.43967694584618,2.556454760193078
R$600+,3079,3043,4.0046007229707525,8.18447547905164,14.513910571012715,6.211107502435856
Under R$50,16508,16426,4.249543406794107,5.579113157257087,10.619941382937789,1.5201720377998547
