bucket,mean,n,std,x,ci,change
"(-inf, -15.0]",4.323286646918409,34771,1.1403007187290615,-19.0,0.01198579592403537,
"(-15.0, -7.0]",4.304224733360994,40973,1.1365653067644033,-11.0,0.011005292372370131,-0.019061913557415266
"(-7.0, -1.0]",4.1790804412593605,12419,1.1939385315650366,-4.0,0.020998812033594366,-0.12514429210163325
"(-1.0, 0.0]",4.03359375,1280,1.2522241256843958,0.0,0.06860142756834095,-0.14548669125936087
"(0.0, 3.0]",3.291036717062635,1852,1.5867038042604178,2.0,0.07226557176789056,-0.7425570329373645
"(3.0, 7.0]",2.102974828375286,1748,1.5092662711063562,6.0,0.07075403690864512,-1.1880618886873493
"(7.0, 14.0]",1.6708160442600277,1446,1.2121953652390824,10.0,0.06248050686682491,-0.4321587841152581
"(14.0, 30.0]",1.614314115308151,1006,1.1260611918102212,20.0,0.06958555130172203,-0.05650192895187667
"(30.0, inf]",2.0577507598784193,329,1.5280933596278559,42.0,0.16512316747110287,0.4434366445702682
